freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_PPS,TOT_HC,EA19	: 	: 	: 	988401.54 	1017906.41 	1044092.62 	1079420.49 	1113295.72 	1156535.16 	1210313.64 p	1313449.52 p	: 
A,MIO_PPS,TOT_HC,EA20	: 	: 	: 	993910.55 	1023622.62 	1050065.88 	1085624.03 	1119727.78 	1163287.38 	1217504.94 p	1321749.50 p	: 
A,MIO_PPS,TOT_HC,EE	1478.37 	1564.11 	1651.21 	1751.46 	1869.17 	1952.67 	2042.04 	2179.45 	2307.73 	2557.58 	2816.10 	2801.63 p
A,MIO_PPS,TOT_HC,EL	19313.91 	17701.80 	16793.44 	16025.65 	16822.68 	17225.37 	17044.38 	17325.01 	17710.70 	18457.55 	19797.68 	: 
A,MIO_PPS,TOT_HC,ES	97074.07 	95318.68 	94526.20 	97172.85 	102700.40 	103601.79 	108849.74 	111851.86 	118152.24 	121179.51 	131308.75 	: 
A,MIO_PPS,TOT_HC,EU27_2020	: 	: 	: 	1178592.49 	1216190.17 	1249342.69 	1293986.88 	1337562.96 	1392924.41 	1463427.72 p	1591899.68 p	: 
A,MIO_PPS,TOT_HC,FI	14728.02 	15312.06 	15692.44 	15805.27 	16020.70 b	15962.09 	16348.58 	16656.42 	17120.82 	17875.57 	19656.64 p	: 
A,MIO_PPS,TOT_HC,FR	205889.84 	210165.87 	219108.31 b	224552.06 	227596.10 	232459.52 	235798.32 	238724.41 	246510.29 	257595.63 	284608.32 	: 
A,MIO_PPS,TOT_HC,HR	: 	: 	4297.78 	4468.92 	4692.45 	4948.12 	5125.51 	5369.54 	5647.41 	5904.58 	7052.36 	: 
A,MIO_PPS,TOT_HC,HU	13297.65 	13090.75 	13219.08 	13452.65 	13632.41 	13891.40 	13774.05 	14363.08 	14485.94 	16480.78 	18109.22 	18430.17 p
A,MIO_PPS,TOT_HC,IE	14570.97 	14943.00 	14543.44 	14263.34 	14837.71 	15326.48 	15850.60 	16553.75 	17221.88 	18253.34 	19542.20 	20491.56 p
A,MIO_PPS,TOT_HC,IS	802.71 	814.31 	830.77 	862.13 	904.44 	933.63 	994.06 	1041.87 	1103.29 	1181.50 	1302.07 	: 
A,MIO_PPS,TOT_HC,IT	: 	136611.80 	134448.62 	135054.93 	137375.85 	140503.66 	143903.32 	147302.79 	151046.97 b	155977.44 	165045.99 	169636.28 p
A,MIO_PPS,TOT_HC,LT	3415.25 	3499.51 	3607.10 	3822.14 	4078.23 	4259.12 	4442.95 	4682.67 	5335.64 	5648.09 	6472.72 	: 
A,MIO_PPS,TOT_HC,LU	1902.01 	1754.81 b	1848.06 	1915.72 	1957.29 	2008.93 	2094.82 	2243.66 	2318.88 	2416.55 	2675.38 	2782.04 p
A,MIO_PPS,TOT_HC,LV	: 	: 	1815.45 	1876.46 	2034.18 	2238.42 	2292.58 	2501.05 	2748.35 	2960.31 	3981.03 	: 
A,MIO_PPS,TOT_HC,MT	: 	: 	: 	947.51 	1047.99 	1112.50 	1204.12 	1274.81 	1490.19 	1574.23 p	1777.93 p	: 
A,MIO_PPS,TOT_HC,NL	57916.22 	59854.57 	60695.34 	60882.99 	61122.12 	61429.46 	63372.37 	65879.20 	68192.12 	74412.23 	80080.06 	: 
A,MIO_PPS,TOT_HC,NO	18681.40 	19529.74 	20440.95 	21449.86 	21760.32 	21876.48 	23164.16 	24060.10 	24581.54 	25187.80 	26799.33 	: 
